sampleID,pond,doy,year,time,depth_m,temp_C,do_sat,do_mgl,spcond_uScm,pH,chl_ugl,pc_ugl,
P24-218-W9-S,LakeviewWest,218,2024,10:46,0,27.6,118.3,9.34,116.8,8.14,150.83,9.53,
P24-219-E9-S,Elver,219,2024,11:28,0,20.8,74.2,6.35,87.5,8.04,64.25,9.65,
P24-219-F0-S,Forebay,219,2024,11:02,0,19.1,66.7,6.12,336.2,7.63,23.35,0.02,questionable - YSI touching bottom
P24-219-L9-S,Lakeview,219,2024,10:03,0,23.5,56.1,4.72,523,8.4,11.65,1.03,
P24-219-M9-S,McKee,219,2024,11:50,0,23.4,84.7,7.15,153.5,8.04,47.09,4.84,
P24-219-O9-S,OrchidNorth,219,2024,9:46,0,23,73.4,6.14,265.4,7.83,66.1,0.87,
P24-219-S9-S,Strickers,219,2024,10:50,0,21.5,94,8.3,84.2,9.13,183.52,13.75,
P24-219-T0-S,Tiedemans,219,2024,10:33,0,21,58.4,5.13,82.3,7.77,217.68,9.62,
P24-219-W9-S,LakeviewWest,219,2024,10:16,0,22.4,89.2,7.73,68.5,7.82,223.96,9.56,
P24-220-F0-S,Forebay,220,2024,11:45,0,21.5,63.4,5.58,5.75,7.65,9.16,0.02,
P24-220-S0-C,Strickers,220,2024,10:38,0,22.7,167.9,14.7,109.5,10.32,93.65,11.56,
P24-220-S0-C,Strickers,220,2024,10:38,0.25,22.6,184.7,16.03,113.8,10.33,147,13.14,
P24-220-S0-C,Strickers,220,2024,10:38,0.5,21.6,161.1,100.3,98.3,9.98,244.59,15.59,
P24-220-S0-C,Strickers,220,2024,10:38,0.75,21,102.3,9.03,99.9,9.15,302.95,16.49,
P24-220-S0-C,Strickers,220,2024,10:38,1,21.2,77.2,7.41,97.8,8.93,786.61,75.96,
P24-220-T0-C,Tiedemans,220,2024,9:00,0,20.8,77.1,6.74,97.9,7.84,186.32,11.75,
P24-220-T0-C,Tiedemans,220,2024,9:00,0.25,20.4,58.3,5.13,96.6,7.63,215,11.97,
P24-220-T0-C,Tiedemans,220,2024,9:00,0.5,20.2,45.6,4.1,96.1,7.41,247.11,12.37,
P24-220-T0-C,Tiedemans,220,2024,9:00,0.75,20.2,41.6,3.73,96.1,7.31,284.21,12.6,
P24-220-T0-C,Tiedemans,220,2024,9:00,1,20.2,37.6,3.39,108.9,6.9,365.92,18.91,
P24-220-W0-C,LakeviewWest,220,2024,12:40,0,26.6,247.5,20.32,97.3,10.32,186.5,7.54,
P24-220-W0-C,LakeviewWest,220,2024,12:40,0.25,23.7,245.2,20.67,90.8,10.06,242.21,10.42,
P24-220-W0-C,LakeviewWest,220,2024,12:40,0.5,22.3,157.1,13.24,74.8,8.97,269.25,10.89,
P24-220-W0-C,LakeviewWest,220,2024,12:40,0.75,21.8,72.2,6.27,76.9,7.85,277.29,14.67,
P24-220-W0-C,LakeviewWest,220,2024,12:40,1,21.7,61.3,5.42,147.7,7.25,682.24,32.69,
P24-220-W0-C,LakeviewWest,220,2024,12:40,1.25,21.7,49.3,4.39,162.9,7.02,499.79,21.68,
P24-226-F0-S,Forebay,226,2024,9:40,0,23.4,105.4,9,695,7.8,46.02,1.13,
P24-226-S0-C,Strickers,226,2024,10:12,0,25.4,200.6,16.4,130.9,10.4,113.12,8.94,
P24-226-S0-C,Strickers,226,2024,10:12,0.25,24.2,204.1,17.17,136.3,10.42,153.76,9.04,
P24-226-S0-C,Strickers,226,2024,10:12,0.5,23.6,168,14.15,126,10.3,142.53,9.63,
P24-226-S0-C,Strickers,226,2024,10:12,0.75,22.9,108.8,9.35,108.1,9.71,327.54,14.52,
P24-226-T0-C,Tiedemans,226,2024,8:55,0,24,95.7,8.04,115.8,9.58,108.1,9.17,
P24-226-T0-C,Tiedemans,226,2024,8:55,0.25,23.1,85.2,7.28,112.6,9.37,152.9,11.14,
P24-226-T0-C,Tiedemans,226,2024,8:55,0.5,22.9,62.3,5.37,111.2,8.89,174.96,11.67,
P24-226-T0-C,Tiedemans,226,2024,8:55,0.75,22.8,41.4,3.55,112.1,8.23,182.35,11.01,
P24-226-W0-C,LakeviewWest,226,2024,11:03,0,26.1,218.3,17.64,102.1,9.86,17.02,0.96,
P24-226-W0-C,LakeviewWest,226,2024,11:03,0.25,24.9,232.1,19.25,103.8,9.96,51.65,2.24,
P24-226-W0-C,LakeviewWest,226,2024,11:03,0.5,24,232.9,19.7,104.6,9.95,64.82,2.92,
P24-226-W0-C,LakeviewWest,226,2024,11:03,0.75,23.2,211.1,18.01,99.9,9.7,84.96,3.85,
P24-226-W0-C,LakeviewWest,226,2024,11:03,1,22.9,156.2,13.34,96.8,8.25,311.84,12.42,
P24-227-E9-S,Elver,227,2024,15:51,0,29.1,82.9,6.36,104.8,8.34,32.62,5.5,
P24-227-L9-S,Lakeview,227,2024,15:24,0,28.2,229.1,17.88,31.8,9.49,6.43,0.49,
P24-227-M9-S,McKee,227,2024,16:08,0,29.3,73.6,13.28,162.3,9.52,73.36,4.5,
P24-227-O9-S,OrchidNorth,227,2024,15:07,0,28.1,158.5,12.39,310.1,9.08,22.48,4.33,
P24-234-S0-C,Strickers,234,2024,10:20,0,23.3,149.4,12.89,139.8,10.49,91.81,11.08,
